Id,Prediction
0,5306201.227
1,4456050.056
2,2587332.606
3,3148087.932
4,8980828.935
5,5919495.154
6,2889884.775
7,3400642.603
8,3497587.628
9,6513451.619
10,3473144.86
11,5979901.571
12,5377599.82
13,4653095.387
14,3119500.473
1,3046922.804
2,2974345.135
3,5716815.022
4,2901767.466
5,5499082.015
6,5426504.346
7,2720323.294
8,6188569.87
9,3917854.831
10,5499082.015
11,7966722.758
12,3591255.321
13,7676412.082
14,5129625.091
1,7029390.759
2,8253924.719
3,3362637.531
4,209836.142
5,4038955.281
6,2822905.049
7,3961467.449
8,4308271.253
9,4135745.868
10,5036983.116
11,2697620.213
12,1477805.879
13,5802625.727
14,3832462.015
1,5781384.672
2,4724311.42
3,6764759.814
4,3480633.204
5,245789.234
6,7840608.938
7,-3227497.692
8,1811607.74
9,5381418.956
10,4343228.289
11,6459768.324
12,6074589.821
13,1630438.076
14,3299123.908
1,4749572.291
2,5341618.806
3,2938876.544
4,6046863.613
5,2613620.145
6,3712413.052
7,5758236.109
8,8318803.964
9,6256007.059
10,4664714.464
11,15019046.62
12,5195629.075
13,2687361.751
14,5725802.138
1,5165215.736
2,8526882.916
3,3965262.054
4,338412.847
5,4415730.69
6,2783750.178
7,4715188.755
8,3166881.445
9,3126431.644
10,5067867.12
11,806128.248
12,1777639.526
13,-92656.126
14,7345797.562
1,6430879.052
2,5885130.735
3,4043604.731
4,2641724.997
5,3147511.84
6,3671015.72
7,11438812.24
8,4636087.932
9,8382027.647
10,1411705.253
11,8151729.938
12,3915640.81
13,4014178.106
14,7932613.179
1,2779725.7
2,3440761.588
3,4350149.312
4,2900887.78
5,5186574.407
6,7375704.744
7,5043051.748
8,5212027.83
9,5725057.558
10,4676044.827
11,65231.461
12,4118944.78
13,4304454.736
1,5109609.928
2,5689409.05
3,2412707.326
4,6119797.553
5,4328327.873
6,3837246.598
7,4616081.324
8,4726728.891
9,4890633.625
10,3531385.359
11,3580008.909
12,5452125.247
13,6766357.719
1,6234602.297
2,5910571.906
3,5560189.855
4,6366805.911
5,3480603.499
6,5267148.366
7,8230430.575
8,5256246.023
9,5112112.108
10,3125752.734
11,3549377.317
12,3137331.567
