Id,Prediction
0,5071651.83
1,4079540.047
2,3499669.005
3,4292071.399
4,6864959.424
5,5469893.838
6,4396500.36
7,3865608.972
8,4482135.009
9,5778210.897
10,3985984.858
11,5501536.869
12,5990240.958
13,4701088.011
14,2761800.236
1,2850726.982
2,2746206.103
3,4036557.765
4,4396110.044
5,4124824.875
6,6581741.554
7,6379520.568
8,5864150.321
9,3952345.461
10,6227484.491
11,6636271.666
12,4142955.391
13,6857046.072
14,4109091.44
1,5511739.578
2,4302823.018
3,3012232.475
4,2323073.065
5,4805602.682
6,4354637.692
7,4542018.814
8,3709261.048
9,3153616.212
10,4358022.398
11,2759402.123
12,2672866.608
13,4501512.148
14,3419985.69
1,5097979.82
2,4068081.333
3,3512935.154
4,5183087.689
5,2691421.796
6,9811814.709
7,3897523.768
8,3471505.645
9,5588810.045
10,3449358.957
11,4174175.52
12,7798713.595
13,4237940.336
14,3406205.973
1,5783565.69
2,5950984.855
3,4729709.962
4,5547023.259
5,4931818.797
6,5170027.928
7,5329402.982
8,6647087.922
9,6110670.519
10,4509975.76
11,6737679.902
12,5739215.339
13,5017162.058
14,5861771.696
1,5564628.546
2,6046779.493
3,3503961.205
4,3739528.172
5,4491004.428
6,2733486.384
7,4701680.834
8,3357198.44
9,2760003.023
10,3868749.933
11,3335263.082
12,2490235.049
13,3784704.911
14,6009298.655
1,4031075.111
2,4153137.212
3,3591964.719
4,3049424.233
5,3243765.227
6,4541812.48
7,7515238.841
8,4701930.819
9,7914602.962
10,2040013.892
11,7323810.905
12,4422470.25
13,4966517.384
14,6356264.322
1,3786124.264
2,3362139.797
3,5217599.671
4,3220972.056
5,3637974.681
6,5549597.89
7,5122634.18
8,5964204.203
9,3634226.773
10,4228680.053
11,2818174.178
12,3799055.128
13,3822810.463
1,12486587.79
2,3154292.366
3,3086098.253
4,4958752.292
5,3978962.464
6,6128929.372
7,5250375.909
8,4849485.168
9,3582005.619
10,4202389.539
11,4427946.979
12,6962346.618
13,5629031.246
1,6048187.755
2,6309970.9
3,4790182.838
4,6022051.074
5,5117925.854
6,3999408.866
7,7476341.831
8,5820655.802
9,3859187.496
10,3598065.14
11,3329518.123
12,3465154.238
