Id,Prediction
0,5930819.957
1,2513695.431
2,3297390.138
3,3247362.836
4,7302233.22
5,4482342.731
6,4300139.501
7,2504777.917
8,4547440.05
9,5221752.313
10,3393174.152
11,3667186.024
12,3482710.758
13,6345904.435
14,3424989.028
15,2665418.844
16,11239756.94
17,3502305.188
18,3229741.268
19,4337062.008
20,4595978.06
21,2751058.984
22,4136050.264
23,5231241.614
24,4809052.753
25,3958556.409
26,4978254.135
27,5774679.169
28,5369841.558
29,3832766.876
30,6828466.849
31,3996508.313
32,2902734.718
33,4961585.534
34,3615181.131
35,3524606.452
36,3882237.662
37,7020619.389
38,3522377.878
39,1419066.444
40,4882958.953
41,3040779.188
42,6331753.846
43,4132473.713
44,5953191.017
45,3285972.528
46,2086763.944
47,3470172.578
48,3361767.725
49,3733928.814
50,4616298.489
51,4804342.826
52,3805373.235
53,2712994.348
54,4681314.262
55,6986581.536
56,4501184.708
57,2942483.27
58,4117707.268
59,5214127.439
60,5874532.66
61,5987686.777
62,3236792.539
63,5820773.796
64,4900497.946
65,4931303.128
66,5605386.461
67,3687153.394
68,9052118.892
69,3437554.94
70,5714698.567
71,3424989.028
72,3360567.805
73,6479163.904
74,6651661.832
75,5094499.391
76,5855228.522
77,3325788.831
78,4268491.683
79,2382289.647
80,6434741.851
81,6407078.184
82,5971409.262
83,5094499.391
84,5845979.367
85,3650673.336
86,6489393.251
87,3999873.585
88,5244142.292
89,5554727.585
90,6105537.604
91,4455830.337
92,3754894.2
93,3838415.273
94,5239879.428
95,4617288.856
96,4028627.523
97,4835752.567
98,5394336.632
99,5464139.599
100,4961960.636
101,4555589.403
102,4190512.434
103,4443797.326
104,5157971.366
105,2484563.673
106,13710950.42
107,4719299.413
108,7631500.983
109,3737257.716
110,1759280.297
111,8330375.24
112,5110207.527
113,3252022.843
114,3617943.662
115,4099572.247
116,4616412.771
117,3781084.685
118,3021678.528
119,5480130.441
120,5432157.675
121,5330391.931
122,5092951.721
123,4583436.63
124,3561664.6
125,2916068.289
126,3337964.941
127,5012921.083
128,13321803.96
129,2664232.248
130,5158346.469
131,5087896.603
132,7631500.983
133,5137276.892
134,2878219.176
135,5337460.36
136,3005286.983
137,7037701.982
138,2226950.67
139,4680024.518
140,7674032.271
141,5186285.932
142,5676758.177
143,5113740.297
144,4551071.39
145,2181025.122
146,4031057.543
147,3104412.769
148,4032379.843
149,5277922.374
150,5450673.968
151,4488745.72
152,3957639.666
153,8207102.257
154,5140456.115
155,6508525.583
156,4283634.749
157,7057411.768
158,3557092.469
159,5083821.508
160,6807523.585
161,5584342.596
162,3093282.15
163,3945660.484
164,5485146.351
165,6244781.516
166,4193128.224
167,3882237.662
168,3626598.742
169,5081975.155
170,3840865.44
171,3247956.556
172,3215258.558
173,5747166.374
174,5947596.551
175,4666118.659
176,5815319.946
177,3267354.481
178,4590012.032
179,5478130.036
180,4039036.785
181,2926809.313
182,2955610.596
183,3355758.763
184,2904162.125
185,5640679.933
186,4258060.803
187,4750208.106
188,7631500.983
189,4963141.703
190,4627279.441
191,2980050.878
192,6058019.344
193,4371175.7
194,2810627.967
195,8064397.07
196,2979283.297
197,5570417.836
198,6239969.218
199,5012921.083
200,4782500.946
201,5656468.924
202,5159092.367
203,4582452.861
204,5017909.456
205,5793378.533
206,5310390.975
207,1859395.877
208,4515265.699
209,5303061.108
210,3590762.013
211,5224066.663
212,5659981.582
213,3823622.859
214,9167660.912
215,3819644.448
216,4754840.106
217,4356256.366
218,4887132.992
219,5038297.97
220,4451942.685
221,4955399.519
222,6197126.641
223,5574645.38
224,3410717.815
225,5430678.029
226,5421003.67
227,6594696.509
228,2853301.136
229,5011224.415
230,6645839.431
231,8666166.912
232,3398150.036
233,4240072.493
234,3425685.597
235,4184935.258
236,5398634.788
237,4549514.167
238,13106202.13
239,2964747.053
240,4227292.384
241,5441661.052
242,4715413.77
243,2696669.861
244,5512100.269
245,7646261.856
246,3288038.49
247,5244009.84
248,4073582.242
249,5177273.016
250,4424193.994
251,6705733.99
252,6192891.267
253,3871578.126
254,4931303.128
255,9681341.217
256,4436603.577
257,5659981.582
258,3205625.947
259,5350539.908
260,4326056.229
261,3827168.407
262,3497385.623
263,3243893.079
264,5158346.469
265,3423877.446
266,4250608.74
267,6562144.672
268,2312316.449
269,6053126.402
270,4004268.897
271,4603443.306
272,4681876.661
273,5629213.898
274,3541672.954
275,3351008.274
276,7330648.913
277,6315957.041
278,4327138.614
279,4201231.506
280,3487582.242
281,6323881.909
282,4808146.176
283,2750016.764
284,3285972.528
285,2759904.163
286,2648220.8
287,5404980.835
288,6552204.817
289,3384642.4
290,2001451.556
291,3494216.962
292,5928451.952
293,5311823.613
294,4959327.588
295,5953493.315
296,4935948.306
297,3911886.897
298,3864468.762
299,5495629.65
300,5822180.38
301,3470596.977
302,6297003.427
303,6606097.065
304,4478827.001
305,6286704.398
306,5668994.499
307,5628477.425
308,4471268.108
309,3321464.733
310,5426708.378
311,4378672.437
312,5316248.063
313,6690862.377
314,3945086.303
315,3463414.267
316,4340206.552
317,5848087.383
318,2745394.385
319,6583353.228
320,6557631.752
321,4031057.543
322,4848667.108
323,2685519.484
324,4714295.842
325,4514810.263
326,9778025.102
327,3670245.279
328,4523762.178
329,5202772.232
330,2903741.583
331,4783166.25
332,5074162.774
333,3981467.103
334,4657036.802
335,5961438.782
336,4448066.768
337,3866121.772
338,3906312.256
339,4539931.715
340,4040153.698
341,4175954.061
342,4562314.583
343,3446571.442
344,5589719.485
345,3422135.425
346,2660778.376
347,6170906.758
348,4578066.42
349,4241208.254
350,4722866.222
351,6767963.401
352,6477055.887
353,3279817.544
354,4530732.871
355,5071774.34
356,9373354.887
357,4611125.549
358,4991857.779
359,4408990.384
360,5287318.707
361,5600397.369
362,5160533.944
363,4199045.172
364,5611198.05
365,5509740.169
366,6087151.238
367,3111958.014
368,6023576.341
369,2893383.07
370,3704231.271
371,5325989.246
372,4964654.438
373,8737033.906
374,5845580.046
375,4380257.792
376,4955845.941
377,6427188.844
378,3555400.377
379,3687710.447
380,1613338.725
381,4049307.167
382,5424992.45
383,4557227.368
384,4914782.16
385,6573160.516
386,4663324.194
387,6221728.109
388,3867966.449
389,6257506.289
390,4006982.949
391,3781139.055
392,2712994.348
393,4492430.933
394,3974578.17
395,4244852.969
396,5525620.795
397,6182623.855
398,4941786.744
399,4879701.154
400,4646710.546
401,3643128.092
402,3937080.443
403,4425806.878
404,4945702.298
405,3023484.932
406,6193106.63
407,5820420.151
408,3122154.804
409,5738976.027
410,5450673.968
411,3342301.519
412,5324233.036
413,6909952.378
414,5596201.783
415,10065779.28
416,5685480.798
417,4848667.108
418,4832479.24
419,4789561.51
420,4349073.833
421,4484458.621
422,4489056.03
423,3522377.878
424,5763710.99
425,2515249.241
426,4809740.852
427,2985991.906
428,5283364.69
429,5749045.142
430,4911473.685
431,5246335.475
432,3895652.721
433,6981982.357
434,2918154.233
435,3180179.083
436,4827234.733
437,3819644.448
438,5166318.885
439,5932501.112
440,4002460.747
441,3358501.844
442,5783036.414
443,5234491.56
444,4892105.124
445,4134251.334
446,5679401.519
447,3388121.357
448,4633232.818
449,3774239.205
450,5872022.125
451,4488745.72
452,3471121.229
453,3692111.914
454,1911293.055
455,1721261.995
456,3030333.608
457,2753688.397
458,3116942.814
459,3522377.878
460,6615012.025
461,3701377.668
462,5617688.314
463,2916986.392
464,2564984.235
465,9579579.99
466,6110963.823
467,3004105.491
468,2779139.422
469,3243949.892
470,5906533.866
471,8535010.835
472,5117292.414
473,4735968.014
474,4757303.345
475,5151521.027
476,4958952.485
477,6347292.815
478,3674468.943
479,4334962.206
480,5052322.205
481,5949183.315
482,3265301.986
483,4324101.051
484,4106681.611
485,5060399.884
486,3263376.07
487,4982905.102
488,2659050.029
489,3612802.763
490,5322877.243
491,3522377.878
492,4792976.913
493,4994396.058
494,4676266.774
495,5634689.215
496,4949449.109
497,5072019.926
498,4533021.253
499,1865318.495
500,6515753.433
501,5251725.558
502,3442214.946
503,5479662.069
504,6142690.149
505,4826448.513
506,7389169.22
