Id,Prediction
0,5301144.267
1,3901804.847
2,2889639.68
3,4397595.171
4,5852874.458
5,5431212.654
6,3877371.944
7,3821549.693
8,4099299.784
9,5799841.092
10,4542537.124
11,5239225.291
12,4462088.134
13,5997031.063
14,3750715.772
1,3446222.74
2,3676218.591
3,4471442.3
4,3606965.456
5,4362724.721
6,6660240.171
7,4360348.673
8,5196406.031
9,3946317.393
10,5162324.353
11,5719148.908
12,4598145.634
13,7032502.908
14,4608839.705
1,5101912.435
2,5092019.141
3,3899285.811
4,3674642.999
5,3546630.903
6,4574174.58
7,4551387.45
8,3402524.98
9,4311232.368
10,4428789.094
11,4127625.713
12,3289611.698
13,4374083.98
14,3780049.843
1,4691182.003
2,4672200.852
3,4972392.545
4,5246215.047
5,3731924.232
6,8843723.825
7,4349055.51
8,3563334.708
9,5801062.625
10,4301883.533
11,4826525.941
12,5487515.066
13,3868958.823
14,3380724.261
1,4959411.694
2,5611160.289
3,4209527.628
4,5824639.075
5,4739365.844
6,3411905.09
7,4058950.691
8,5230718.028
9,6012061.832
10,4675223.638
11,4288428.474
12,4384858.478
13,4269159.714
14,4207061.741
1,3723140.585
2,5241206.116
3,4168105.854
4,4126039.778
5,4328404.754
6,3801505.573
7,4343781.406
8,4487632.662
9,2770004.377
10,4151295.105
11,3800238.2
12,3149926.898
13,4247885.571
14,6381192.965
1,4784502.198
2,4037769.658
3,3940668.379
4,2912270.713
5,3952513.212
6,3750604.94
7,4528009.021
8,4934946.638
9,9172025.685
10,3715828.562
11,6306222.309
12,3495295.057
13,4222966.779
14,6090087.728
1,4394304.898
2,4369731.129
3,5766483.458
4,3959998.187
5,4682079.885
6,5329561.925
7,4700383.449
8,3941489.645
9,4756555.368
10,4579228.587
11,4257935.181
12,3506968.182
13,4461071.899
1,7312440.55
2,4292339.869
3,2860372.926
4,4826617.914
5,4929609.808
6,4342845.774
7,4102023.001
8,5452454.003
9,3567331.963
10,4179441.357
11,3299751.242
12,5429761.852
13,5916876.906
1,6573252.846
2,5270264.226
3,5815343.739
4,5034591.598
5,4438748.408
6,5499883.075
7,5705427.303
8,4214267.584
9,4932439.325
10,3473565.46
11,3588090.025
12,4021085.423
