@relation 'train-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1-weka.filters.unsupervised.attribute.Discretize-F-V-B10-M-1.0-Rlast'

@attribute 'Open Date' {07/17/1999,02/14/2008,03/09/2013,02/02/2012,05/09/2009,02/12/2010,10/11/2010,06/21/2011,08/28/2010,11/16/2011,08/09/2013,05/22/2012,02/28/2013,10/16/2010,12/29/2011,02/07/2012,01/07/2000,11/08/2009,04/21/2012,08/16/2011,08/25/2010,01/25/2014,07/01/2006,06/03/2009,09/20/2009,12/23/2011,02/23/2010,10/09/1999,01/28/1998,10/13/2006,12/01/2008,12/31/2012,01/17/2009,04/23/2013,03/21/2012,05/08/1996,05/09/2008,08/23/2010,01/18/2011,03/28/2009,02/09/2011,06/01/2009,09/27/2011,09/24/2009,10/13/2004,08/25/2011,12/23/2009,12/21/2011,04/01/2008,05/01/2010,11/08/2011,11/12/2013,03/29/2013,06/05/1999,08/12/2008,03/16/2013,06/21/2008,04/11/2012,12/01/2007,05/01/2012,05/30/2008,11/15/2010,08/05/2013,07/13/1998,12/21/2013,01/09/2010,03/01/2011,03/16/2010,08/30/2011,11/27/2006,12/06/2006,08/05/2009,10/04/2011,12/01/2011,10/15/2005,11/25/2008,10/25/2013,09/29/2012,01/25/2010,10/16/2009,12/16/2005,08/12/1998,10/09/2009,07/26/2011,02/11/2008,07/10/2013,05/11/2009,08/08/2013,06/20/2007,11/01/2002,10/14/2012,08/08/2011,06/08/2012,11/27/2011,01/26/2009,03/11/2011,12/18/1999,09/21/2007,09/09/2012,09/11/2004,12/06/2011,01/22/2007,03/15/2008,06/15/2008,05/01/2011,07/09/2012,08/25/2007,09/26/2012,08/10/2012,03/14/1998,12/09/2006,12/06/2008,05/04/2012,03/30/2012,12/27/2005,12/25/2009,01/03/2014,08/18/2011,11/13/2004,04/10/1997,11/05/2011,08/18/2005,09/01/2010,07/20/2008,09/07/2007,10/14/2011,02/08/2007,10/29/2011,11/06/2002,06/25/2008,10/12/2006,07/08/2006,10/29/2010,09/01/2009}
@attribute City {İstanbul,Ankara,Diyarbakır,Tokat,Gaziantep,Afyonkarahisar,Edirne,Kocaeli,Bursa,İzmir,Sakarya,Elazığ,Kayseri,Eskişehir,Şanlıurfa,Samsun,Adana,Antalya,Kastamonu,Uşak,Muğla,Kırklareli,Konya,Karabük,Tekirdağ,Denizli,Balıkesir,Aydın,Amasya,Kütahya,Bolu,Trabzon,Isparta,Osmaniye}
@attribute 'City Group' {'Big Cities',Other}
@attribute Type {IL,FC,DT}
@attribute P2 {'\'(-inf-2.5]\'','\'(2.5-3.5]\'','\'(3.5-4.25]\'','\'(4.25-4.75]\'','\'(4.75-5.5]\'','\'(5.5-6.75]\'','\'(6.75-inf)\''}
@attribute revenue numeric

@data
07/17/1999,İstanbul,'Big Cities',IL,'\'(4.75-5.5]\'',5653753
02/14/2008,Ankara,'Big Cities',FC,'\'(4.75-5.5]\'',6923131
03/09/2013,Diyarbakır,Other,IL,'\'(3.5-4.25]\'',2055379
02/02/2012,Tokat,Other,IL,'\'(4.25-4.75]\'',2675511
05/09/2009,Gaziantep,Other,IL,'\'(3.5-4.25]\'',4316715
02/12/2010,Ankara,'Big Cities',FC,'\'(5.5-6.75]\'',5017319
10/11/2010,İstanbul,'Big Cities',IL,'\'(2.5-3.5]\'',5166635
06/21/2011,İstanbul,'Big Cities',IL,'\'(4.75-5.5]\'',4491607
08/28/2010,Afyonkarahisar,Other,IL,'\'(-inf-2.5]\'',4952497
11/16/2011,Edirne,Other,IL,'\'(4.25-4.75]\'',5444227
08/09/2013,Kocaeli,Other,FC,'\'(5.5-6.75]\'',3745135
05/22/2012,İstanbul,'Big Cities',IL,'\'(3.5-4.25]\'',5161370
02/28/2013,Ankara,'Big Cities',IL,'\'(-inf-2.5]\'',1734634
10/16/2010,İstanbul,'Big Cities',FC,'\'(4.75-5.5]\'',4807746
12/29/2011,Bursa,Other,FC,'\'(-inf-2.5]\'',1999097
02/07/2012,İstanbul,'Big Cities',IL,'\'(6.75-inf)\'',3218918
01/07/2000,İstanbul,'Big Cities',FC,'\'(4.75-5.5]\'',19696939
11/08/2009,İstanbul,'Big Cities',FC,'\'(3.5-4.25]\'',8213524
04/21/2012,İzmir,'Big Cities',IL,'\'(4.75-5.5]\'',5337526
08/16/2011,Sakarya,Other,IL,'\'(3.5-4.25]\'',2021934
08/25/2010,Elazığ,Other,IL,'\'(3.5-4.25]\'',5525735
01/25/2014,İstanbul,'Big Cities',FC,'\'(4.75-5.5]\'',1149870
07/01/2006,Kayseri,Other,FC,'\'(5.5-6.75]\'',3956086
06/03/2009,Sakarya,Other,FC,'\'(3.5-4.25]\'',2999068
09/20/2009,İstanbul,'Big Cities',IL,'\'(4.75-5.5]\'',8904084
12/23/2011,Eskişehir,Other,FC,'\'(3.5-4.25]\'',3778621
02/23/2010,Ankara,'Big Cities',IL,'\'(4.75-5.5]\'',2267425
10/09/1999,Bursa,Other,FC,'\'(4.75-5.5]\'',5435276
01/28/1998,İstanbul,'Big Cities',IL,'\'(4.75-5.5]\'',4705945
10/13/2006,Ankara,'Big Cities',FC,'\'(-inf-2.5]\'',3447890
12/01/2008,Sakarya,Other,IL,'\'(-inf-2.5]\'',3008199
12/31/2012,İstanbul,'Big Cities',IL,'\'(4.75-5.5]\'',2058644
01/17/2009,Şanlıurfa,Other,FC,'\'(3.5-4.25]\'',3261924
04/23/2013,Samsun,Other,FC,'\'(2.5-3.5]\'',2371202
03/21/2012,İstanbul,'Big Cities',FC,'\'(4.75-5.5]\'',4100886
05/08/1996,Adana,Other,IL,'\'(4.75-5.5]\'',3903884
